,Unnamed: 0,code,last_modified_datetime,product_name,brands,countries,serving_size,nutrition_grade_fr,energy_100g,fat_100g,saturated-fat_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,vitamin-a_100g,vitamin-c_100g,calcium_100g,iron_100g,nutrition-score-fr_100g
680,1528,10374162747,2017-03-09T16:43:25Z,"The Father's Table, Chocolate Lover's Cheesecake, Chocolate Chip, White Chocolate Turtle & Triple Chocolate",The Father's Table Llc,US,57.0,e,1540.0,22.81,10.53,0.0,0.044,38.6,24.56,1.8,5.26,0.66802,0.263,0.0001578,0.0,0.07,0.00189,19.0
681,1529,10374162754,2017-03-09T16:43:25Z,"The Father's Table, Winter Variety Cheesecake",The Father's Table Llc,US,57.0,d,1469.0,21.05,8.77,0.0,0.044,38.6,22.81,1.8,3.51,0.66802,0.263,0.0001578,0.0,0.035,0.00126,17.0
682,1530,10374162761,2017-03-09T16:43:26Z,"The Father's Table, Cheesecake, Raspberry Lemonade",The Father's Table Llc,US,113.0,e,1556.0,21.24,9.73,0.0,0.058,41.59,25.66,0.9,3.54,0.65278,0.257,0.0001992,0.0,0.053,0.00096,19.0
683,1531,10374162778,2017-03-09T16:43:26Z,"The Father's Table, Cheesecake, Fruit Swirl",The Father's Table Llc,US,57.0,e,1393.0,19.3,8.77,0.0,0.035,38.6,22.81,0.0,3.51,0.66802,0.263,0.0001578,0.0,0.035,0.00063,19.0
684,1532,10374162785,2017-03-09T11:19:04Z,Peppermint Bark Cheesecake,The Father's Table  L.L.C.,US,113.0,e,1556.0,22.12,10.62,0.0,0.044,39.82,25.66,1.8,4.42,0.6731,0.265,0.0001992,0.0,0.071,0.00127,19.0
685,1533,10374162792,2017-03-09T11:19:06Z,Eggnog Praline Cheese Cake,The Fathers's Table  L.L.C.,US,113.0,e,1519.0,21.24,9.73,0.0,0.044,38.05,23.89,0.9,4.42,0.65278,0.257,0.0001326,0.0,0.053,0.00064,19.0
686,1534,10374162907,2017-03-09T16:43:27Z,"The Father's Table, Winter Variety Cheesecake",The Father's Table Llc,US,57.0,d,1469.0,21.05,8.77,0.0,0.044,38.6,22.81,1.8,3.51,0.62484,0.246,0.0001578,0.0,0.035,0.00126,17.0
687,1535,10374168060,2017-03-10T10:42:27Z,Sea Salt Caramel Cheesecake,The Father's Table Llc,US,113.0,e,1594.0,22.12,10.62,0.0,0.053,40.71,26.55,0.9,4.42,0.71882,0.283,0.0001992,0.0,0.053,0.00064,21.0
688,1536,10374168084,2017-03-09T16:43:27Z,"The Father's Table, Peanut Butter Cup Cheesecake",The Father's Table Llc,US,113.0,e,1665.0,23.01,10.62,0.0,0.04,38.05,25.66,1.8,5.31,0.76454,0.301,0.0001326,0.0,0.053,0.00127,20.0
689,1537,10374180192,2017-03-10T09:36:18Z,New York Style Cheesecake,The Father's Table  Llc,US,128.0,d,1439.0,24.22,11.72,0.0,0.062,26.56,1.56,0.8,4.69,0.71374,0.281,0.0001758,0.0,0.062,0.00056,16.0
